date,location,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,series_complete_pop_pct
2022-08-03T00:00:00.000,VT,53899,585185,850975,892,82.4
2022-08-03T00:00:00.000,NY,1447121,14772681,24553355,27979,78.2
2022-08-03T00:00:00.000,OK,155802,2479544,3507888,4690,58.3
2022-08-03T00:00:00.000,IL,682829,8387939,14541555,31020,69.3
2021-12-17T00:00:00.000,DD2,304183,2277395,4186268,21489,0
2022-08-03T00:00:00.000,CA,2321608,29715155,47063905,15676,73.2
2022-08-03T00:00:00.000,HI,71263,1148543,1912207,633,79.4
2022-08-03T00:00:00.000,UT,186194,1880671,3375131,421,65.1
2022-08-03T00:00:00.000,PA,792319,9396172,14069228,1519,70.1
2022-08-03T00:00:00.000,TN,268121,3977764,6059448,71523,55.2
2022-08-03T00:00:00.000,SD,42172,580653,870245,148,63.2
2022-08-03T00:00:00.000,OH,631551,7097887,10923047,21242,59.1
2022-08-03T00:00:00.000,MS,94516,1622496,2309993,3832,52.7
2022-08-03T00:00:00.000,IN,315641,3689537,6177709,34344,56.6
2022-08-03T00:00:00.000,MD,367747,4660994,7765591,19910,76.9
2022-08-03T00:00:00.000,LA,201008,2648043,3638334,3353,54.1
2021-02-12T00:00:00.000,AS,0,4257,10775,0,0
2022-08-03T00:00:00.000,DD2,318143,2762623,5382592,34491,0
2022-08-03T00:00:00.000,NM,120192,1684249,2338952,11016,72.4
2022-08-03T00:00:00.000,AZ,375859,5001587,7406190,40170,62.8
2022-08-03T00:00:00.000,ND,39864,424136,683225,375,56.3
2022-08-03T00:00:00.000,WV,68016,1224370,1543399,2100,58.4
2022-08-03T00:00:00.000,CO,343115,4380611,6604969,12522,71.2
2022-08-03T00:00:00.000,MO,252464,3395264,5719217,2493,57
2022-08-03T00:00:00.000,RI,66281,891466,1372416,2120,84.3
2022-08-03T00:00:00.000,OR,277755,3067840,4846971,18692,70.5
2022-08-03T00:00:00.000,NC,520390,6542718,10443532,1090,63.1
2022-08-03T00:00:00.000,VA,505293,6137720,10597165,11967,74.3
2021-06-30T00:00:00.000,BP2,8360,80033,105858,0,0
2022-08-03T00:00:00.000,MT,62038,699452,895027,2446,57.6
2022-08-03T00:00:00.000,DE,62728,737535,1108349,2401,70.5
2022-08-03T00:00:00.000,DC,38663,599898,1003560,2040,77.7
2022-08-03T00:00:00.000,GA,344371,6045183,9062426,44472,55.7
2022-08-03T00:00:00.000,WY,28971,341853,401372,741,51.7
2022-08-03T00:00:00.000,MI,469539,6502577,9502225,2384,60.8
2022-08-03T00:00:00.000,NH,89083,995599,1612360,196,72
2022-08-03T00:00:00.000,FL,1491938,14478465,22909920,154533,67.9
2022-08-03T00:00:00.000,GU,13599,117001,239548,394,83.6
2022-08-03T00:00:00.000,BP2,14174,151108,162921,32,0
2021-08-13T00:00:00.000,IH2,28618,789387,702367,0,33.2
2022-08-03T00:00:00.000,NE,95545,1202398,2056031,7844,64.4
2022-08-03T00:00:00.000,AS,578,25142,86022,1218,88.9
2022-08-03T00:00:00.000,IH2,41703,1083093,1208765,174,42.6
2022-08-03T00:00:00.000,NV,188371,1750437,3161431,620,61.7
2022-08-03T00:00:00.000,MN,359243,3973162,6604758,5666,70
2022-08-03T00:00:00.000,WI,336976,4136598,6347827,3187,66.4
2022-08-03T00:00:00.000,WA,490465,5718320,9037437,13849,73.4
2022-07-27T00:00:00.000,AR,124893,1881060,2386010,3935,55.3
2022-07-27T00:00:00.000,ND,39846,422890,680387,355,56.3
2022-07-27T00:00:00.000,MT,62032,699311,894800,2446,57.5
2022-07-27T00:00:00.000,MN,359092,3958442,6578020,5570,70
2021-10-19T00:00:00.000,VA2,218572,2930641,2723371,294,0
2022-07-27T00:00:00.000,DD2,317706,2748937,5353707,34260,0
